system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
19,NZ_JQBW01000010.1,cas_type_other,WP_268872323.1,PDLC01380,cd12218,Csn2,1.8000000000000003e-27,2.3000000000000003e-27,0.803,0.429,100812,101165,-,-,19,39,"PDLC02127,Csn2_WP_092199373.1, 1, 0.00011, 0.598, 0.31 | PDLC01023,cas_Csn2, 1, 4.4e-19, 0.786, 0.41 | PDLC01380,cd12218, 1, 2.3e-27, 0.803, 0.429 | PDLC02123,Csn2_WP_164905698.1, 1, 1.3e-28, 0.803, 0.423 | PDLC02132,Csn2_WP_007147955.1, 1, 1.9e-06, 0.786, 0.418 | PDLC01257,cd09644, 1, 1e-04, 0.778, 0.407 | PDLC02141,Csn2_WP_150280658.1, 1, 5.7e-07, 0.812, 0.432 | PDLC02119,Csn2_WP_115483433.1, 1, 4.1e-07, 0.795, 0.416 | PDLC02124,Csn2_WP_017261328.1, 1, 2.8e-18, 0.812, 0.43 | PDLC01648,pfam09711, 1, 4.2e-05, 0.795, 0.52","PDLC02123, Csn2_WP_164905698.1, 1.3e-28, 0.803, 0.423 | PDLC01380, cd12218, 2.3e-27, 0.803, 0.429 | PDLC01023, cas_Csn2, 4.4e-19, 0.786, 0.41 | PDLC02124, Csn2_WP_017261328.1, 2.8e-18, 0.812, 0.43 | PDLC02119, Csn2_WP_115483433.1, 4.1e-07, 0.795, 0.416"
19,NZ_JQBW01000010.1,cas_type_other,WP_057741369.1,PDLC01580,mkCas0193,Cas9,0,0,0.995,0.999,101342,105439,-,-,20,39,"PDLC00975,cas9_maka_4_II, 1, 6.3e-128, 0.896, 0.891 | PDLC01460,COG3513, 1, 2.7e-140, 0.892, 0.885 | PDLC01580,mkCas0193, 1, 0, 0.995, 0.999 | PDLC00973,cas_Csn1, 1, 1.3e-174, 0.747, 0.972 | PDLC01104,icity0002, 1, 1.3e-07, 0.993, 0.897 | PDLC01256,cd09643, 1, 1e-164, 0.749, 0.979 | PDLC01256,cd09643, 2, 0.88, 0.059, 0.114","PDLC01580, mkCas0193, 0, 0.995, 0.999 | PDLC00973, cas_Csn1, 1.3e-174, 0.747, 0.972 | PDLC01256, cd09643, 1e-164, 0.749, 0.979 | PDLC01460, COG3513, 2.7e-140, 0.892, 0.885 | PDLC00975, cas9_maka_4_II, 6.3e-128, 0.896, 0.891"
20,NZ_POTQ01000013.1,cas_type_II-A,WP_261792749.1,PDLC01580,mkCas0193,Cas9,0,0,0.9,0.91,11499,15635,+,-,10,25,"PDLC00975,cas9_maka_4_II, 1, 1.4e-127, 0.754, 0.708 | PDLC01460,COG3513, 1, 1.8e-148, 0.939, 0.946 | PDLC01580,mkCas0193, 1, 4.6e-58, 0.097, 0.1 | PDLC01580,mkCas0193, 2, 0, 0.9, 0.91 | PDLC00973,cas_Csn1, 1, 1.5e-184, 0.756, 0.976 | PDLC01104,icity0002, 1, 1.5e-08, 0.996, 0.874 | PDLC01256,cd09643, 1, 1.9e-170, 0.756, 0.983","PDLC01580, mkCas0193, 0, 0.9, 0.91 | PDLC00973, cas_Csn1, 1.5e-184, 0.756, 0.976 | PDLC01256, cd09643, 1.9e-170, 0.756, 0.983 | PDLC01460, COG3513, 1.8e-148, 0.939, 0.946 | PDLC00975, cas9_maka_4_II, 1.4e-127, 0.754, 0.708"
20,NZ_POTQ01000013.1,cas_type_II-A,WP_101889102.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,3.499999999999999e-96,3.799999999999999e-96,0.967,0.836,15843,16748,+,-,11,25,"PDLC02062,Cas1_II_WP_122951193.1, 1, 1.7e-19, 0.691, 0.726 | PDLC02061,Cas1_II_WP_078484493.1, 1, 3.8e-96, 0.967, 0.836","PDLC02061, Cas1_II_WP_078484493.1, 3.8e-96, 0.967, 0.836 | PDLC02062, Cas1_II_WP_122951193.1, 1.7e-19, 0.691, 0.726"
20,NZ_POTQ01000013.1,cas_type_II-A,WP_021349505.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,3.4e-44,3.7e-44,0.98,0.701,16726,17031,+,-,12,25,"PDLC02071,Cas2_II_WP_086428212.1, 1, 2.1e-29, 0.921, 0.969 | PDLC02073,Cas2_II_WP_029776276.1, 1, 2.1e-25, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 3.7e-44, 0.98, 0.701 | PDLC02072,Cas2_II_WP_038817100.1, 1, 2.9e-31, 0.644, 0.903 | PDLC02069,Cas2_II_WP_178005650.1, 1, 4e-30, 0.861, 0.669","PDLC02068, Cas2_II_WP_167337171.1, 3.7e-44, 0.98, 0.701 | PDLC02072, Cas2_II_WP_038817100.1, 2.9e-31, 0.644, 0.903 | PDLC02069, Cas2_II_WP_178005650.1, 4e-30, 0.861, 0.669 | PDLC02071, Cas2_II_WP_086428212.1, 2.1e-29, 0.921, 0.969 | PDLC02073, Cas2_II_WP_029776276.1, 2.1e-25, 0.416, 0.857"
20,NZ_POTQ01000013.1,cas_type_II-A,WP_003681807.1,PDLC01380,cd12218,Csn2,7.299999999999999e-79,8.099999999999999e-79,0.982,0.995,17028,17699,+,-,13,25,"PDLC02127,Csn2_WP_092199373.1, 1, 1.7e-07, 0.982, 0.991 | PDLC01023,cas_Csn2, 1, 5.8e-38, 0.982, 0.995 | PDLC01380,cd12218, 1, 8.1e-79, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 2.7e-77, 0.991, 0.995 | PDLC02138,Csn2_WP_178467070.1, 1, 0.0065, 0.892, 0.882 | PDLC02132,Csn2_WP_007147955.1, 1, 6.9e-21, 0.969, 0.964 | PDLC01371,cd09758, 1, 1.1e-07, 0.906, 0.904 | PDLC02139,Csn2_WP_057888294.1, 1, 5.3e-08, 0.731, 0.695 | PDLC01257,cd09644, 1, 1e-11, 0.978, 0.986 | PDLC02141,Csn2_WP_150280658.1, 1, 4.4e-17, 0.982, 0.977 | PDLC02137,Csn2_WP_092874919.1, 1, 0.0043, 0.937, 0.941 | PDLC02147,Csn2_WP_022791452.1, 1, 4.2e-07, 0.892, 0.887 | PDLC02119,Csn2_WP_115483433.1, 1, 1.9e-17, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 1.1e-44, 0.996, 0.995 | PDLC01180,icity0117, 1, 2.8e-06, 0.888, 0.887 | PDLC01648,pfam09711, 1, 6.7e-08, 0.794, 0.966 | PDLC02121,Csn2_WP_159082072.1, 1, 7.7e-09, 0.906, 0.904","PDLC01380, cd12218, 8.1e-79, 0.982, 0.995 | PDLC02123, Csn2_WP_164905698.1, 2.7e-77, 0.991, 0.995 | PDLC02124, Csn2_WP_017261328.1, 1.1e-44, 0.996, 0.995 | PDLC01023, cas_Csn2, 5.8e-38, 0.982, 0.995 | PDLC02132, Csn2_WP_007147955.1, 6.9e-21, 0.969, 0.964"
21,NZ_QORN01000023.1,cas_type_II-A,WP_191668164.1,PDLC02123,Csn2_WP_164905698.1,Csn2,5.299999999999999e-89,5.899999999999998e-89,0.991,0.995,23557,24228,-,-,14,18,"PDLC02127,Csn2_WP_092199373.1, 1, 1.1e-10, 0.982, 0.991 | PDLC01023,cas_Csn2, 1, 4.9e-50, 0.982, 0.995 | PDLC01380,cd12218, 1, 4.5e-78, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 5.9e-89, 0.991, 0.995 | PDLC02132,Csn2_WP_007147955.1, 1, 2.8e-25, 0.955, 0.95 | PDLC01371,cd09758, 1, 2e-04, 0.915, 0.931 | PDLC02139,Csn2_WP_057888294.1, 1, 3.2e-05, 0.78, 0.738 | PDLC01257,cd09644, 1, 6.2e-17, 0.978, 0.986 | PDLC02141,Csn2_WP_150280658.1, 1, 5.1e-25, 0.973, 0.968 | PDLC02137,Csn2_WP_092874919.1, 1, 6.2e-07, 0.973, 0.982 | PDLC02147,Csn2_WP_022791452.1, 1, 2.5e-13, 0.942, 0.932 | PDLC02119,Csn2_WP_115483433.1, 1, 7e-18, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 6.7e-54, 0.991, 0.991 | PDLC01180,icity0117, 1, 8.5e-10, 0.937, 0.932 | PDLC01648,pfam09711, 1, 5.6e-07, 0.794, 0.966 | PDLC02121,Csn2_WP_159082072.1, 1, 4.8e-06, 0.915, 0.936","PDLC02123, Csn2_WP_164905698.1, 5.9e-89, 0.991, 0.995 | PDLC01380, cd12218, 4.5e-78, 0.982, 0.995 | PDLC02124, Csn2_WP_017261328.1, 6.7e-54, 0.991, 0.991 | PDLC01023, cas_Csn2, 4.9e-50, 0.982, 0.995 | PDLC02132, Csn2_WP_007147955.1, 2.8e-25, 0.955, 0.95"
21,NZ_QORN01000023.1,cas_type_II-A,WP_191668165.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,9.300000000000001e-44,9.8e-44,0.911,0.657,24225,24530,-,-,15,18,"PDLC02071,Cas2_II_WP_086428212.1, 1, 2.7e-31, 0.931, 0.969 | PDLC02073,Cas2_II_WP_029776276.1, 1, 4.2e-26, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 9.8e-44, 0.911, 0.657 | PDLC02072,Cas2_II_WP_038817100.1, 1, 4.7e-32, 0.644, 0.903 | PDLC02069,Cas2_II_WP_178005650.1, 1, 1.7e-30, 0.871, 0.677","PDLC02068, Cas2_II_WP_167337171.1, 9.8e-44, 0.911, 0.657 | PDLC02072, Cas2_II_WP_038817100.1, 4.7e-32, 0.644, 0.903 | PDLC02071, Cas2_II_WP_086428212.1, 2.7e-31, 0.931, 0.969 | PDLC02069, Cas2_II_WP_178005650.1, 1.7e-30, 0.871, 0.677 | PDLC02073, Cas2_II_WP_029776276.1, 4.2e-26, 0.416, 0.857"
21,NZ_QORN01000023.1,cas_type_II-A,WP_191668166.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,8.499999999999998e-106,9.299999999999998e-106,0.967,0.836,24508,25416,-,-,16,18,"PDLC02062,Cas1_II_WP_122951193.1, 1, 3.3e-20, 0.881, 0.931 | PDLC02061,Cas1_II_WP_078484493.1, 1, 9.3e-106, 0.967, 0.836","PDLC02061, Cas1_II_WP_078484493.1, 9.3e-106, 0.967, 0.836 | PDLC02062, Cas1_II_WP_122951193.1, 3.3e-20, 0.881, 0.931"
21,NZ_QORN01000023.1,cas_type_II-A,WP_191668167.1,PDLC01580,mkCas0193,Cas9,0,0,0.993,0.997,25617,29747,-,-,17,18,"PDLC00975,cas9_maka_4_II, 1, 3.6e-113, 0.843, 0.843 | PDLC01460,COG3513, 1, 2.8e-133, 0.825, 0.866 | PDLC01580,mkCas0193, 1, 0, 0.993, 0.997 | PDLC00973,cas_Csn1, 1, 1.2e-170, 0.743, 0.981 | PDLC00973,cas_Csn1, 2, 49, 0.095, 0.131 | PDLC01256,cd09643, 1, 1.5e-158, 0.746, 0.994 | PDLC01256,cd09643, 2, 0.068, 0.099, 0.17","PDLC01580, mkCas0193, 0, 0.993, 0.997 | PDLC00973, cas_Csn1, 1.2e-170, 0.743, 0.981 | PDLC01256, cd09643, 1.5e-158, 0.746, 0.994 | PDLC01460, COG3513, 2.8e-133, 0.825, 0.866 | PDLC00975, cas9_maka_4_II, 3.6e-113, 0.843, 0.843"
